
Step(*): 0, t: 0.015625, dt: 0, highest active timebin: 0  (lowest active: 0, highest occupied: 0)
Step(*): 54, t: 0.0194566, dt: 7.88611e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 55, t: 0.0195358, dt: 7.91821e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 56, t: 0.0196153, dt: 7.95043e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 57, t: 0.0196952, dt: 7.98279e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 58, t: 0.0197753, dt: 8.01527e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 59, t: 0.0198558, dt: 8.04789e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 60, t: 0.0199366, dt: 8.08064e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 61, t: 0.0200177, dt: 8.11353e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 62, t: 0.0200992, dt: 8.14655e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 63, t: 0.020181, dt: 8.1797e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 64, t: 0.0202631, dt: 8.21299e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 65, t: 0.0203456, dt: 8.24642e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 66, t: 0.0204284, dt: 8.27998e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 67, t: 0.0205115, dt: 8.31367e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 68, t: 0.020595, dt: 8.34751e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 69, t: 0.0206788, dt: 8.38148e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 70, t: 0.020763, dt: 8.41559e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 71, t: 0.0208475, dt: 8.44984e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 72, t: 0.0209323, dt: 8.48423e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 73, t: 0.0210175, dt: 8.51875e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 74, t: 0.021103, dt: 8.55342e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 75, t: 0.0211889, dt: 8.58823e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 76, t: 0.0212751, dt: 8.62318e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 77, t: 0.0213617, dt: 8.65828e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 78, t: 0.0214487, dt: 8.69351e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

