
Sync-Point 0, Time: 0.015625, Redshift: 63, Systemstep: 0, Dloga: 0, Nsync-grv:      32768, Nsync-hyd:          0

Sync-Point 1, Time: 0.0156886, Redshift: 62.7406, Systemstep: 6.35886e-05, Dloga: 0.00406141, Nsync-grv:      32768, Nsync-hyd:          0

Sync-Point 2, Time: 0.0157524, Redshift: 62.4822, Systemstep: 6.38473e-05, Dloga: 0.00406141, Nsync-grv:      32768, Nsync-hyd:          0

Sync-Point 3, Time: 0.0158165, Redshift: 62.2249, Systemstep: 6.41072e-05, Dloga: 0.00406141, Nsync-grv:      32768, Nsync-hyd:          0

Sync-Point 4, Time: 0.0158809, Redshift: 61.9687, Systemstep: 6.43681e-05, Dloga: 0.00406141, Nsync-grv:      32768, Nsync-hyd:          0

Sync-Point 5, Time: 0.0159455, Redshift: 61.7135, Systemstep: 6.463e-05, Dloga: 0.00406141, Nsync-grv:      32768, Nsync-hyd:          0

Sync-Point 6, Time: 0.0160104, Redshift: 61.4593, Systemstep: 6.48931e-05, Dloga: 0.00406141, Nsync-grv:      32768, Nsync-hyd:          0

Sync-Point 7, Time: 0.0160756, Redshift: 61.2061, Systemstep: 6.51572e-05, Dloga: 0.00406141, Nsync-grv:      32768, Nsync-hyd:          0

Sync-Point 8, Time: 0.016141, Redshift: 60.954, Systemstep: 6.54223e-05, Dloga: 0.00406141, Nsync-grv:      32768, Nsync-hyd:          0

Sync-Point 9, Time: 0.0162067, Redshift: 60.7029, Systemstep: 6.56886e-05, Dloga: 0.00406141, Nsync-grv:      32768, Nsync-hyd:          0

Sync-Point 10, Time: 0.0162727, Redshift: 60.4528, Systemstep: 6.59559e-05, Dloga: 0.00406141, Nsync-grv:      32768, Nsync-hyd:          0

Sync-Point 11, Time: 0.0163389, Redshift: 60.2037, Systemstep: 6.62243e-05, Dloga: 0.00406141, Nsync-grv:      32768, Nsync-hyd:          0

Sync-Point 12, Time: 0.0164054, Redshift: 59.9556, Systemstep: 6.64938e-05, Dloga: 0.00406141, Nsync-grv:      32768, Nsync-hyd:          0

Sync-Point 13, Time: 0.0164721, Redshift: 59.7086, Systemstep: 6.67644e-05, Dloga: 0.00406141, Nsync-grv:      32768, Nsync-hyd:          0

Sync-Point 14, Time: 0.0165392, Redshift: 59.4625, Systemstep: 6.70361e-05, Dloga: 0.00406141, Nsync-grv:      32768, Nsync-hyd:          0

Sync-Point 15, Time: 0.0166065, Redshift: 59.2174, Systemstep: 6.7309e-05, Dloga: 0.00406141, Nsync-grv:      32768, Nsync-hyd:          0

